iter	Logloss
0	0.688571466
1	0.6842285362
2	0.6790993149
3	0.6732108657
4	0.668998976
5	0.6653299589
6	0.6599289147
7	0.6556521235
8	0.6523517402
9	0.6496277371
10	0.6458730955
11	0.6415230519
12	0.6366283314
13	0.6330630328
14	0.6296314549
15	0.6258376869
16	0.6219378291
17	0.618389542
18	0.6154539263
19	0.6117561959
20	0.6085269
21	0.6052112064
22	0.6014200159
23	0.5978514182
24	0.59450165
25	0.5910140373
26	0.5881296622
27	0.584835568
28	0.5812183071
29	0.5779546274
30	0.5749154993
31	0.5717617241
32	0.5684877344
33	0.5658611091
34	0.5635344531
35	0.5607770971
36	0.5578196242
37	0.5556475665
38	0.5529248006
39	0.550293742
40	0.5478783169
41	0.5456655348
42	0.5441133654
43	0.541232341
44	0.5389916704
45	0.5360890981
46	0.5337285222
47	0.5320220122
48	0.5297437616
49	0.5277188275
50	0.5255896079
51	0.5237179833
52	0.5219359527
53	0.5196547637
54	0.5177235474
55	0.5160414206
56	0.5137102282
57	0.5123335349
58	0.5106208904
59	0.5088769036
60	0.5065108634
61	0.5046538276
62	0.5021334468
63	0.5003222388
64	0.4982382285
65	0.4964327426
66	0.4947135513
67	0.4930002883
68	0.4908992664
69	0.4894385467
70	0.4878257545
71	0.4859595428
72	0.4842837566
73	0.4828989184
74	0.4814811397
75	0.4798202515
76	0.4787387332
77	0.4769995406
78	0.4754080901
79	0.4743935869
80	0.4731591714
81	0.4718766084
82	0.4706265218
83	0.4691758027
84	0.4673521712
85	0.4655699859
86	0.4643434061
87	0.4628041242
88	0.4612236023
89	0.4605990229
90	0.4591299521
91	0.4580029668
92	0.4566148294
93	0.4551319947
94	0.4538497925
95	0.4524220132
96	0.4510342366
97	0.4502444912
98	0.4486471125
99	0.4472498507
100	0.4463330862
101	0.4451822848
102	0.4438753901
103	0.4426349949
104	0.4414571298
105	0.4404417502
106	0.4391779513
107	0.4383740812
108	0.4370656916
109	0.4358932392
110	0.4352549476
111	0.4344108685
112	0.4334995682
113	0.4322575492
114	0.4314346571
115	0.4303374677
116	0.4291541641
117	0.4282469363
118	0.4270003809
119	0.425720885
120	0.4249579971
121	0.4238986453
122	0.4233005111
123	0.4224115836
124	0.421733083
125	0.4207761094
126	0.4200408008
127	0.4188621882
128	0.4178123474
129	0.4168102419
130	0.4158642228
131	0.4149809141
132	0.4141075289
133	0.4132120803
134	0.4117353285
135	0.4111658303
136	0.4101488268
137	0.4093274039
138	0.4087362547
139	0.4078477138
140	0.4066846177
141	0.4054261285
142	0.4045893953
143	0.403890919
144	0.4029708553
145	0.4021370862
146	0.4011086387
147	0.4005699158
148	0.3998676764
149	0.399100381
150	0.3984741778
151	0.3977148726
152	0.3970959638
153	0.3961314382
154	0.3952962515
155	0.3946760023
156	0.3941934689
157	0.3931991216
158	0.3923420262
159	0.3916966722
160	0.3910565505
161	0.3905514124
162	0.3898821135
163	0.3891702858
164	0.3883307173
165	0.3876943331
166	0.3868977315
167	0.3863024325
168	0.3858002328
169	0.385148899
170	0.3845043956
171	0.3837816909
172	0.3828726073
173	0.3824188645
174	0.3821140238
175	0.3815766154
176	0.381032454
177	0.3802737932
178	0.3796188251
179	0.3790425223
180	0.3783160802
181	0.3775890969
182	0.3770887014
183	0.3764170827
184	0.3757655943
185	0.3752755088
186	0.3746849266
187	0.3742527575
188	0.3734772656
189	0.3729181032
190	0.3723408983
191	0.3718474362
192	0.3711621053
193	0.3705813434
194	0.3701431171
195	0.3694921442
196	0.3689865164
197	0.3682807716
198	0.3676359589
199	0.3672244355
200	0.366645349
201	0.3661076571
202	0.3657759331
203	0.3652591448
204	0.3648214082
205	0.3642689473
206	0.3637457667
207	0.3631736652
208	0.3627113136
209	0.3620497729
210	0.3617706299
211	0.3609098486
212	0.3603193438
213	0.3599705052
214	0.3596096554
215	0.3591610677
216	0.3588769758
217	0.358155431
218	0.3574872404
219	0.357075717
220	0.3564799799
221	0.3560362635
222	0.3555747367
223	0.3551134677
224	0.3545854929
225	0.3542469128
226	0.3537847158
227	0.353417113
228	0.3530480153
229	0.3523929957
230	0.3519221641
231	0.3516542847
232	0.3512267551
233	0.3507249162
234	0.3503800985
235	0.3498651659
236	0.3491879541
237	0.3488711795
238	0.3483288739
239	0.3479721482
240	0.3474437353
241	0.3468253677
242	0.3465552974
243	0.3461630795
244	0.3457420968
245	0.3451525714
246	0.3448213371
247	0.3443381078
248	0.3438063957
249	0.3435179736
250	0.3431524328
251	0.3427994187
252	0.3424100103
253	0.3420841114
254	0.3416861972
255	0.3411689191
256	0.340911659
257	0.340484516
258	0.3401843406
259	0.3398924132
260	0.339369645
261	0.3390204971
262	0.3384679846
263	0.3380723902
264	0.3377096846
265	0.3373828836
266	0.3370123683
267	0.336558342
268	0.3361273327
269	0.3357732103
270	0.3353645479
271	0.3349009591
272	0.3345720704
273	0.3343486786
274	0.3338711971
275	0.3333285564
276	0.3330345669
277	0.3325942014
278	0.332171337
279	0.3317090885
280	0.3312796773
281	0.3309377206
282	0.330607672
283	0.3303235028
284	0.3300696708
285	0.3295475212
286	0.3290992943
287	0.3287911802
288	0.3284430633
289	0.3280833992
290	0.3277898737
291	0.3273920626
292	0.3270970937
