iter	Passed	Remaining
0	48	48744
1	49	24628
2	49	16561
3	50	12536
4	50	10117
5	51	8521
6	51	7367
7	52	6505
8	52	5821
9	53	5267
10	53	4828
11	54	4460
12	54	4149
13	55	3883
14	55	3649
15	56	3446
16	56	3265
17	56	3105
18	57	2958
19	58	2874
20	59	2781
21	60	2681
22	61	2605
23	62	2534
24	62	2455
25	63	2378
26	64	2307
27	64	2237
28	64	2171
29	65	2110
30	65	2061
31	66	2011
32	67	1965
33	67	1919
34	68	1876
35	68	1832
36	68	1792
37	69	1755
38	69	1720
39	70	1686
40	70	1658
41	71	1633
42	71	1601
43	72	1574
44	73	1556
45	74	1553
46	77	1565
47	78	1547
48	78	1527
49	79	1517
50	80	1494
51	80	1473
52	81	1457
53	82	1438
54	82	1419
55	83	1401
56	83	1384
57	84	1366
58	84	1348
59	85	1333
60	85	1317
61	86	1301
62	86	1286
63	86	1271
64	87	1258
65	88	1247
66	88	1232
67	88	1219
68	89	1206
69	89	1193
70	90	1182
71	91	1175
72	95	1210
73	95	1199
74	96	1187
75	96	1178
76	97	1167
77	97	1156
78	98	1145
79	98	1133
80	98	1122
81	99	1112
82	99	1102
83	100	1093
84	100	1083
85	101	1077
86	101	1068
87	102	1059
88	102	1051
89	103	1042
90	103	1034
91	104	1026
92	104	1018
93	104	1010
94	105	1001
95	105	996
96	106	990
97	106	982
98	107	975
99	107	968
100	108	963
101	108	957
102	109	950
103	109	945
104	110	941
105	110	934
106	111	928
107	111	922
108	112	918
109	113	915
110	113	909
111	114	906
112	114	901
113	115	895
114	115	890
115	116	884
116	116	879
117	116	874
118	117	868
119	117	863
120	118	858
121	118	853
122	119	848
123	119	844
124	119	839
125	120	835
126	120	831
127	121	826
128	121	822
129	122	817
130	122	813
131	123	809
132	123	805
133	123	801
134	124	796
135	124	793
136	125	788
137	125	785
138	126	781
139	126	777
140	127	773
141	127	771
142	128	767
143	128	764
144	129	761
145	129	758
146	130	754
147	130	751
148	131	749
149	131	747
150	132	743
151	132	740
152	133	737
153	133	734
154	134	730
155	135	731
156	136	732
157	137	730
158	137	727
159	137	724
160	138	721
161	138	718
162	139	715
163	139	712
164	140	709
165	140	706
166	141	703
167	141	701
168	142	700
169	142	698
170	143	697
171	144	695
172	145	693
173	145	690
174	145	687
175	146	685
176	146	682
177	147	679
178	147	677
179	148	674
180	148	672
181	149	670
182	149	668
183	150	665
184	150	664
185	151	661
186	151	659
187	152	656
188	152	654
189	152	651
190	153	649
191	153	647
192	154	645
193	154	642
194	155	640
195	155	639
196	156	637
197	157	636
198	157	634
199	158	632
200	158	630
201	159	628
202	159	625
203	160	624
204	160	621
205	160	619
206	161	617
207	161	615
208	162	613
209	162	611
210	162	608
211	163	606
212	163	604
213	164	603
214	164	602
215	165	600
216	165	598
217	167	599
218	167	598
219	168	596
220	168	594
221	169	593
222	169	591
223	170	590
224	170	588
225	171	586
226	171	584
227	172	582
228	172	581
229	173	579
230	173	577
231	174	576
232	174	574
233	174	572
234	175	570
235	175	568
236	176	567
237	176	565
238	177	563
239	177	562
240	177	560
241	178	558
242	178	556
243	179	555
244	179	554
245	180	552
246	180	551
247	181	550
248	181	548
249	182	547
250	183	546
251	183	544
252	183	543
253	184	541
254	184	540
255	185	538
256	185	537
257	186	536
258	187	535
259	187	533
260	187	532
261	188	530
262	188	529
263	189	527
264	189	526
265	190	524
266	190	523
267	191	522
268	191	520
269	192	519
270	192	518
271	193	518
272	194	517
273	194	516
274	195	514
275	195	513
276	196	511
277	196	510
278	196	508
279	197	507
280	197	505
281	198	504
282	198	503
283	199	501
284	199	500
285	199	498
286	200	497
287	200	496
288	201	494
289	201	493
290	201	492
291	202	491
292	203	490
293	203	488
294	204	487
295	204	486
296	204	485
297	205	483
298	205	482
299	206	481
300	206	480
301	207	479
302	208	478
303	208	478
304	209	477
305	209	476
306	210	474
307	210	473
308	211	472
309	211	471
310	212	470
311	212	469
312	213	468
313	213	466
314	214	465
315	214	464
316	214	463
317	215	462
318	215	460
319	216	459
320	216	458
321	217	457
322	217	456
323	218	454
324	218	453
325	218	452
326	219	451
327	219	450
328	220	449
329	220	448
330	221	447
331	221	445
332	222	444
333	222	443
334	223	443
335	224	444
336	226	446
337	227	445
338	227	444
339	228	443
340	229	443
341	229	442
342	230	441
343	230	439
344	231	438
345	231	437
346	231	436
347	232	435
348	232	434
349	233	433
350	233	432
351	234	431
352	234	430
353	235	429
354	235	428
355	236	427
356	236	426
357	237	425
358	238	426
359	239	424
360	239	423
361	239	422
362	240	422
363	240	421
364	241	419
365	241	418
366	242	418
367	242	417
368	243	416
369	243	415
370	244	414
371	244	413
372	245	412
373	245	411
374	246	410
375	246	409
376	247	408
377	247	407
378	247	406
379	248	405
380	248	404
381	249	403
382	249	402
383	250	401
384	250	400
385	250	399
386	251	398
387	251	397
388	252	396
389	252	395
390	253	394
391	253	393
392	254	392
393	254	391
394	255	390
395	255	389
396	255	388
397	256	387
398	256	386
399	257	385
400	257	384
401	258	383
402	258	382
403	259	382
404	259	381
405	260	380
406	260	379
407	261	378
408	261	377
